id,name,community,visibility,liquidity,mechanism,security,ranking
1,COIN11,4.7707923425,4.7373120226,52.8120150327,5.9270247627,49.5791067332,1
2,COIN19,86.956963953,27.3344699565,73.4057383937,13.5135175201,50.7098043064,2
3,COIN12,38.3506150043,19.5177230837,95.8253496267,18.24656893,7.1451007796,3
4,COIN17,19.7920696339,18.0490768572,15.7794303469,17.3135376159,90.8483273966,4
5,COIN15,2.9645453935,45.5452214559,30.657579762,52.6974961496,44.8513942084,5
6,COIN18,62.8586486359,4.1592858822,57.5723671216,32.2685481768,53.0518059905,6
7,COIN13,37.6008644744,42.6854879346,82.8046744207,19.6483922131,32.5722327371,7
8,COIN16,99.3778657545,87.4417214446,5.0102738691,28.3505866024,77.4893387215,8
9,COIN10,68.5862785884,99.0263638971,33.4510606459,48.8503839774,20.0272019272,9
10,COIN2,24.0029529681,89.9081980971,0.8229454845,16.5968187666,58.8725406056,10
11,COIN25,30.6883611339,49.28996527,48.3164478305,12.6920685264,10.681753231,11
12,COIN7,44.2477332223,82.0375778317,46.6484521595,5.3582513424,84.893409412,12
13,COIN4,49.7354944226,51.606463227,47.740635071,14.9208268351,90.9551516906,13
14,COIN14,85.8679638046,74.79546277,4.590756732,83.6211152643,93.2865496471,14
15,COIN24,91.1630759769,63.5134946129,43.5362869304,3.1825184525,50.2557478368,15
16,COIN5,1.5324053238,60.5961704619,39.5057309807,50.277877469,86.3087833979,16
17,COIN6,51.6149500127,68.092925324,73.5523081423,71.9205237896,26.891134189,17
18,COIN28,48.8526093787,38.791054689,21.7129426944,44.066930301,10.0510217396,18
19,COIN21,38.7037608881,90.0605354973,11.5987947908,51.8939885851,30.7217238579,19
20,COIN8,15.12106209,61.4886978432,35.3418605533,83.435771719,26.7893552985,20
21,COIN3,33.8466193605,93.5898255304,93.8514065733,52.2895438641,46.531568347,21
22,COIN29,56.5063914808,15.5833584753,4.6028853288,57.0475227675,41.0190105229,22
23,COIN26,52.6546987182,25.4569855665,1.7840225467,47.6656561962,90.0037638177,23
24,COIN27,47.9986831815,94.7447829227,25.5483103727,69.5585691684,31.7154469528,24
25,COIN0,31.9516040296,52.2223701864,91.6563606375,52.0488464321,93.3025278572,25
26,COIN9,82.6667533181,80.3795263957,0.4050865658,85.0982745555,88.3855884197,26
27,COIN1,79.7172792799,59.1461160911,43.4999096692,67.1581706408,96.670543126,27
28,COIN20,3.4846494619,25.2526444851,97.6730453959,95.6392336079,44.7796640579,28
29,COIN22,0.9579267413,49.1421072747,67.0273867085,89.4755508803,48.9109579586,29
30,COIN23,37.3861826871,77.3912462703,25.8292839546,75.5643217869,80.2996661901,30
